Security,LACOMUBC MM Equity                                              
Start Date,04/01/2016 00:00
End Date,05/11/2018 00:00
Period,D
Currency,MXN
,
Date,PRECIO
05/11/2018,21.42
01/11/2018,21.36
31/10/2018,21.18
30/10/2018,20.99
29/10/2018,20.69
26/10/2018,21.48
25/10/2018,21.89
24/10/2018,22.19
23/10/2018,22.16
22/10/2018,22.24
19/10/2018,22.3
18/10/2018,22.47
17/10/2018,22.97
16/10/2018,21.59
15/10/2018,21
12/10/2018,21.49
11/10/2018,21.4
10/10/2018,21.29
09/10/2018,21.29
08/10/2018,21.3
05/10/2018,21.24
04/10/2018,21.1
03/10/2018,21.19
02/10/2018,21.2
01/10/2018,21.19
28/09/2018,21.16
27/09/2018,21.19
26/09/2018,21
25/09/2018,21
24/09/2018,21
21/09/2018,21.18
20/09/2018,21
19/09/2018,21.08
18/09/2018,21
17/09/2018,20.99
14/09/2018,21
13/09/2018,21.2
12/09/2018,20.34
11/09/2018,20.98
10/09/2018,20.99
07/09/2018,20.98
06/09/2018,20.98
05/09/2018,21
04/09/2018,20.99
03/09/2018,21.18
31/08/2018,21.2
30/08/2018,21.11
29/08/2018,21.19
28/08/2018,21.19
27/08/2018,21.18
24/08/2018,21.2
23/08/2018,21.2
22/08/2018,21.2
21/08/2018,21.18
20/08/2018,20.84
17/08/2018,20.65
16/08/2018,20.73
15/08/2018,21.18
14/08/2018,21.04
13/08/2018,20.82
10/08/2018,20.5
09/08/2018,20.95
08/08/2018,21.2
07/08/2018,21.33
06/08/2018,20.67
03/08/2018,20.46
02/08/2018,20.28
01/08/2018,20.49
31/07/2018,20.5
30/07/2018,20.28
27/07/2018,20.32
26/07/2018,20.44
25/07/2018,20.07
24/07/2018,20.19
23/07/2018,19.97
20/07/2018,20
19/07/2018,20.3
18/07/2018,20.44
17/07/2018,20.5
16/07/2018,20.5
13/07/2018,20.43
12/07/2018,20.49
11/07/2018,20.6
10/07/2018,20.75
09/07/2018,20.91
06/07/2018,21.13
05/07/2018,20.88
04/07/2018,20.89
03/07/2018,20.88
02/07/2018,21.77
29/06/2018,20.77
28/06/2018,20.66
27/06/2018,20.43
26/06/2018,20.14
25/06/2018,20.33
22/06/2018,19.67
21/06/2018,19.96
20/06/2018,19.44
19/06/2018,18.87
18/06/2018,19.25
15/06/2018,19.49
14/06/2018,19.04
13/06/2018,19
12/06/2018,18.73
11/06/2018,19.09
08/06/2018,18.67
07/06/2018,18.32
06/06/2018,18.36
05/06/2018,18.59
04/06/2018,19.17
01/06/2018,19.17
31/05/2018,19.46
30/05/2018,19.5
29/05/2018,19.23
28/05/2018,19.43
25/05/2018,19.51
24/05/2018,19.72
23/05/2018,19.13
22/05/2018,18.9
21/05/2018,18.29
18/05/2018,18.51
17/05/2018,17.85
16/05/2018,18.34
15/05/2018,18.36
14/05/2018,18.48
11/05/2018,18.83
10/05/2018,18.85
09/05/2018,19.19
08/05/2018,19.51
07/05/2018,19.63
04/05/2018,19.73
03/05/2018,19.24
02/05/2018,19.79
30/04/2018,19.71
27/04/2018,19.71
26/04/2018,19.9
25/04/2018,19.94
24/04/2018,19.57
23/04/2018,19.92
20/04/2018,19.89
19/04/2018,20.2
18/04/2018,19.96
17/04/2018,20
16/04/2018,20.01
13/04/2018,20.45
12/04/2018,20.19
11/04/2018,20.45
10/04/2018,20.52
09/04/2018,20.75
06/04/2018,20.45
05/04/2018,19.94
04/04/2018,19.98
03/04/2018,19.72
02/04/2018,18.74
28/03/2018,18.42
27/03/2018,18.53
26/03/2018,18.61
23/03/2018,18.01
22/03/2018,18.15
21/03/2018,18.25
20/03/2018,18.11
16/03/2018,18.31
15/03/2018,18.52
14/03/2018,18.33
13/03/2018,18.13
12/03/2018,18.46
09/03/2018,18.49
08/03/2018,18.69
07/03/2018,18.53
06/03/2018,18.57
05/03/2018,18.65
02/03/2018,18.44
01/03/2018,18.71
28/02/2018,18.75
27/02/2018,19.01
26/02/2018,18.75
23/02/2018,18.38
22/02/2018,18.41
21/02/2018,18.16
20/02/2018,18.06
19/02/2018,18.05
16/02/2018,18.25
15/02/2018,18.2
14/02/2018,17.91
13/02/2018,18.14
12/02/2018,17.93
09/02/2018,17.47
08/02/2018,17.45
07/02/2018,17.93
06/02/2018,18.55
02/02/2018,18.92
01/02/2018,18.97
31/01/2018,18.98
30/01/2018,18.88
29/01/2018,19.27
26/01/2018,19.26
25/01/2018,19
24/01/2018,19.31
23/01/2018,18.99
22/01/2018,19.15
19/01/2018,19.26
18/01/2018,19.89
17/01/2018,19.53
16/01/2018,19.47
15/01/2018,19
12/01/2018,19.11
11/01/2018,19.01
10/01/2018,19.03
09/01/2018,19.35
08/01/2018,19.61
05/01/2018,19.69
04/01/2018,19.7
03/01/2018,20.01
02/01/2018,20.17
29/12/2017,20.25
28/12/2017,19.76
27/12/2017,19.91
26/12/2017,19.75
22/12/2017,19.49
21/12/2017,19.19
20/12/2017,18.95
19/12/2017,19
18/12/2017,18.68
15/12/2017,18.44
14/12/2017,18.34
13/12/2017,18.32
11/12/2017,18.42
08/12/2017,18.49
07/12/2017,18.04
06/12/2017,17.92
05/12/2017,18
04/12/2017,18.21
01/12/2017,18.44
30/11/2017,18.35
29/11/2017,18.46
28/11/2017,18.49
27/11/2017,18.4
24/11/2017,18.5
23/11/2017,18.5
22/11/2017,18.32
21/11/2017,18.08
17/11/2017,18.28
16/11/2017,18.2
15/11/2017,18.09
14/11/2017,18.12
13/11/2017,18.33
10/11/2017,17.83
09/11/2017,18.41
08/11/2017,18.53
07/11/2017,18.78
06/11/2017,18.73
03/11/2017,18.46
01/11/2017,18.39
31/10/2017,18.6
30/10/2017,18.67
27/10/2017,18.14
26/10/2017,18.17
